#CNTAS Song Sun Sep 14 11:36:26 2014 
#USER: Song 
#DATE: Sun Sep 14 11:36:26 2014 
#TITLE: FAT Test measurement 
#CMD: scan(axis=s2th, start=-53, step=0.2, end=-77, time=10)
#STEPS: s2th = 0.2  
#ROI: Xmin=1 Xmax=128 Ymin=1 Ymax=128 
#COLLI: ALF1=600 ALF2=60 ALF3=30 ALF4=30
#CELL: A=   3.79 B=   3.79 C=  17.15
#CELL: alpha=90.00 beta=90.00 gamma=120.00
#PVEC1: H1=0.000 K1=0.000 L1=12.000
#PVEC2: H2=2.000 K2=0.000 L2=0.000
#ANGLES:       monok=   20.82       monho=   41.85          om=    0.00 
#ANGLES:        s2th=  -37.50         ath=    2.00      detang=    0.00 
#ANGLES:         sgU=    0.00         sgL=    0.00       mvfoc= 1090.00 
#ANGLES:        mtrX=  -21.00        mtrY=  -23.69         mgU=   -0.88 
#ANGLES:         mgL=    0.40         s1X=   32.05         s1Y=   32.05 
#ANGLES:         s1L=  142.72         s1U=  142.72         s2X=    8.88 
#ANGLES:         s2Y=    7.88         s2L=   26.14         s2U=   28.03 
#ANGLES:        strX=  -58.66        strY=  -54.86       antrX=  -12.10 
#ANGLES:       antrY=  -12.50        angL=    0.00        angU=    0.00 
#ANGLES:      msdist= 2161.30      sadist=  618.00     detdist= 1024.16 
#ANGLES:     anShRot=   11.50    anShLift=  150.00 
#ZEROS:       monok=   -0.19       monho=    0.42          om=    0.00 
#ZEROS:        s2th=    0.10         ath=   -0.43      detang=   -0.22 
#ZEROS:         sgU=    0.00         sgL=    0.00       mvfoc=    0.00 
#ZEROS:        mtrX=    0.00        mtrY=    0.00         mgU=    0.00 
#ZEROS:         mgL=    0.00         s1X=    0.00         s1Y=    0.00 
#ZEROS:         s1L=    0.00         s1U=    0.00         s2X=    0.00 
#ZEROS:         s2Y=    0.00         s2L=    0.00         s2U=    0.00 
#ZEROS:        strX=    0.00        strY=    0.00       antrX=    0.00 
#ZEROS:       antrY=    0.00        angL=    0.00        angU=    0.00 
#ZEROS:      msdist=    0.00      sadist=    0.00     detdist=    0.00 
#ZEROS:     anShRot=    0.00    anShLift=    0.00 
#DATA:
#     s2th        CNT      ROICNT       MON       TIME     2DFNUM    CNT/MON   Err(CNT/MON)
    -74.80         77         60        0.0       10.0     108953      0.000      0.000
    -75.00         81         59        0.0       10.0     108954      0.000      0.000
    -75.20         84         66        0.0       10.0     108955      0.000      0.000
    -75.40         78         69        0.0       10.0     108956      0.000      0.000
    -75.60         75         59        0.0       10.0     108957      0.000      0.000
    -75.80         88         65        0.0       10.0     108958      0.000      0.000
    -76.00         86         70        0.0       10.0     108959      0.000      0.000
    -76.20         82         68        0.0       10.0     108960      0.000      0.000
    -76.40         71         52        0.0       10.0     108961      0.000      0.000
    -76.60         78         58        0.0       10.0     108963      0.000      0.000
    -76.80         91         64        0.0       10.0     108964      0.000      0.000
    -77.00         74         49        0.0       10.0     108965      0.000      0.000
